CivilitÈ;Prenom;Nom;Societe;Site;Departement;Service;fonction;Manager-Prenom;Manager-Nom;Nom de PC;Marque PC;Date de naissance;Telephone fixe;Telephone portable;
M.;Malik;Belkacem;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48942;HP;30/07/1980;-;-;
M.;Martin;Nguyen;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA57906;DELL;18/07/1998;-;-;
M.;Matteo;Ferrari;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA96975;DELL;23/04/1999;-;-;
Mme;Mia;Johnson;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA67552;DELL;07/02/1992;-;-;
M.;Miguel;Hernandez;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA52831;DELL;12/06/1982;-;-;
M.;Mohammed;Elbaz;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48939;DELL;22/09/1985;-;-;
M.;Morgan;O'Flaherty;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA36514;DELL;22/10/1983;-;-;
Mme;Nora;O'Sullivan;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA12745;DELL;15/01/1988;-;-;
M.;Norman;Robin;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA57512;HP;23/09/1993;-;-;
Mme;Noura;Habib;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48943;HP;09/12/1998;-;-;
Mme;Rafaella;Martinez;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA99298;DELL;30/04/1993;-;-;
M.;Raj;TraorÈ;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48947;HP;16/10/1978;-;-;
M.;Sacha;Lopez;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA19651;LENOVO;10/10/1997;-;-;
M.;Samuel;Clement;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA45337;DELL;07/01/1992;-;-;
Mme;Sara;Besnheard;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA15299;HP;04/09/1988;-;-;
Mme;Sara;Nakamura;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48949;LENOVO;04/04/1982;-;-;
M.;Seamus;O'Connor;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48799;HP;24/07/1987;-;-;
M.;SÈbastien;Durand;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA27630;DELL;25/11/1993;-;-;
M.;Simon;Gauthier;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA28156;HP;01/11/1992;-;-;
M.;Tarek;Ibrahimovic;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48937;LENOVO;07/01/1976;-;-;
M.;Tenzin;Li;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48932;DELL;12/08/1983;-;-;
M.;ThÈo;Durand;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48950;LENOVO;21/01/1992;-;-;
M.;Tristan;Fontaine;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA96447;DELL;25/02/1988;-;-;
M.;Tristan;Le Petit;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA74440;HP;14/10/1986;-;-;
M.;Victor;Chevalier;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA32765;DELL;20/06/1983;-;-;
M.;Vincent;Gerard;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA52948;LENOVO;18/09/1988;-;-;
Mme;Yara;Abadi;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA58412;LENOVO;11/08/1985;-;-;
M.;Yiannis;Papadopoulos;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA57679;TOSHIBA;27/04/1991;-;-;
M.;Yohan;Pillet;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA83956;DELL;26/12/1998;-;-;
M.;Youssef;Al-Masri;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA51530;HP;29/06/1983;-;-;
M.;Youssef;Ricci;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48944;DELL;01/01/1975;-;-;
Mme;Zineb;Verma;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA48946;LENOVO;27/03/1994;-;-;
Mme;Zoe;Smith;BillU;Paris;DÈveloppement logiciel;DÈveloppement;DÈveloppeur;Florian;Rellay;PA53861;DELL;19/06/1998;-;-;
Mme;Isabel;Gomez;BillU;Paris;DÈveloppement logiciel;Recherche et Prototype;DÈveloppeur;Niko;Gruber;PA21386;HP;23/06/1984;0158890916;0601928581;
M.;Julien;Le Karadec-Hyacyne;BillU;Paris;DÈveloppement logiciel;Recherche et Prototype;DÈveloppeur;Niko;Gruber;PA67334;LENOVO;10/12/2001;0182968579;0714669952;
M.;Niko;Gruber;BillU;Paris;DÈveloppement logiciel;Recherche et Prototype;Responsable Recherche;Sofia;Rossi;PA82471;HP;17/11/1993;0148808015;0653178244;
Mme;Sophie;Mercier--Le-Coutourd;BillU;Paris;DÈveloppement logiciel;Recherche et Prototype;DÈveloppeur;Niko;Gruber;PA27339;HP;11/03/1992;0138775905;0704209714;
Mme;AngÈline;Lefaivre;BillU;Paris;DÈveloppement logiciel;Tests et qualitÈ;DÈveloppeur;Elena;S·nchez;PA21358;LENOVO;04/06/1999;-;-;
Mme;Camille;BÙrner;BillU;Paris;DÈveloppement logiciel;Tests et qualitÈ;DÈveloppeur;Elena;S·nchez;PA46875;LENOVO;07/06/2000;-;-;
Mme;Elena;S·nchez;BillU;Paris;DÈveloppement logiciel;Tests et qualitÈ;Responsable test et qualitÈ;Sofia;Rossi;PA83940;LENOVO;23/12/1986;0107161739;0628631838;
M.;Esteban;Gonz‡lez;2Face;Paris;DÈveloppement logiciel;Tests et qualitÈ;Testeur;Elena;S·nchez;-;-;-;-;-;
Mme;Eva;Simonet;BillU;Paris;DÈveloppement logiciel;Tests et qualitÈ;DÈveloppeur;Elena;S·nchez;PA81191;LENOVO;20/01/1994;-;-;
M.;Fabien;Hy-DíJykov;2Face;Paris;DÈveloppement logiciel;Tests et qualitÈ;Testeur;Elena;S·nchez;-;-;-;0177322131;0619087602;
M.;Fabien;Lecointre;2Face;Paris;DÈveloppement logiciel;Tests et qualitÈ;Testeur;Elena;S·nchez;-;-;-;-;-;
M.;Guido;Bianchi;BillU;Paris;DÈveloppement logiciel;Tests et qualitÈ;DÈveloppeur;Elena;S·nchez;PA27339;LENOVO;25/09/1983;-;-;
Mme;HÈlÈna;KusmÈrowa;2Face;Paris;DÈveloppement logiciel;Tests et qualitÈ;Testeur;Elena;S·nchez;-;-;-;-;-;
Mme;Laura;Lemeunier;BillU;Paris;DÈveloppement logiciel;Tests et qualitÈ;DÈveloppeur;Elena;S·nchez;PA46875;HP;30/04/2001;-;-;
M.;LÈo;Dubois;BillU;Paris;DÈveloppement logiciel;Tests et qualitÈ;DÈveloppeur;Elena;S·nchez;PA84928;LENOVO;07/12/1997;-;-;
Mme;Marie;Dufour;BillU;Paris;DÈveloppement logiciel;Tests et qualitÈ;DÈveloppeur;Elena;S·nchez;PA72687;LENOVO;22/05/2000;-;-;
M.;Maximilian;Wagner;BillU;Paris;DÈveloppement logiciel;Tests et qualitÈ;DÈveloppeur;Elena;S·nchez;PA53201;HP;29/11/1984;-;-;
M.;Niamh;Fitzpatrick;BillU;Paris;DÈveloppement logiciel;Tests et qualitÈ;DÈveloppeur;Elena;S·nchez;PA31784;TOSHIBA;11/04/1987;-;-;
Mme;Nina;Ledoux;BillU;Paris;DÈveloppement logiciel;Tests et qualitÈ;DÈveloppeur;Elena;S·nchez;PA31356;LENOVO;21/04/1998;-;-;
M.;Olivetti;Del Roy;BillU;Paris;DÈveloppement logiciel;Tests et qualitÈ;DÈveloppeur;Elena;S·nchez;PA78411;HP;20/03/1989;-;-;
M.;RÈmy;Leriche;2Face;Paris;DÈveloppement logiciel;Tests et qualitÈ;Testeur;Elena;S·nchez;-;-;-;-;-;
M.;Tariq;Aziz;BillU;Paris;DÈveloppement logiciel;Tests et qualitÈ;DÈveloppeur;Elena;S·nchez;PA31010;LENOVO;12/03/1989;-;-;
Mme;Sofia;Rossi;BillU;Paris;DÈveloppement logiciel;;Directeur DÈveloppement logiciel;Camille;Martin;PA93655;TOSHIBA;21/09/1998;0185544131;0730413931;
M.;Alexis;Bernard;BillU;Paris;Direction;;Directeur adjoint;Camille;Martin;PA89346;DELL;13/08/1997;0187246457;0738812832;
Mme;Camille;Martin;BillU;Paris;Direction;;CEO;-;;PA12959;TOSHIBA;09/05/1985;0160409379;0653791741;
M.;Ismail;Aloui;BillU;Paris;Direction;;Assistant de direction;Camille;Martin;PA44025;DELL;11/07/1994;0169526844;0799523610;
Mme;Kim;Park;BillU;Paris;Direction;;Assistant de direction;Camille;Martin;PA204692;DELL;29/08/1997;0169523302;0695330569;
M.;LÈonard;Dubois;BillU;Paris;Direction;;Assistant de direction;Camille;Martin;PA75792;TOSHIBA;12/12/1998;0112092812;0757172438;
Mme;Naomi;Yamamoto;BillU;Paris;Direction;;Assistant de direction;Camille;Martin;PA441236;DELL;02/01/2001;0187446290;0677452036;
M.;Alan;Meunier;BillU;Paris;DSI;Administration SystËmes et RÈseaux;Technicien rÈseaux;Anthony;Noel;PA21577;DELL;02/08/1995;0194124692;0687340310;
Mme;Marie;Meyer;BillU;Paris;DSI;Administration SystËmes et RÈseaux;Technicien SystËmes;Anthony;Noel;PA33490;DELL;27/12/1997;0134344137;0717065142;
M.;Mathis;Mercier;BillU;Paris;DSI;Administration SystËmes et RÈseaux;Technicien rÈseaux;Anthony;Noel;PA30819;DELL;21/08/1993;0466874640;0745093669;
Mme;Juliette;Roux;BillU;Paris;DSI;DÈveloppement et IntÈgration;DÈveloppeur;Anthony;Noel;PA73994;DELL;30/05/1985;0134118694;0665692415;
Mme;Juliette;Roy;BillU;Paris;DSI;DÈveloppement et IntÈgration;DÈveloppeur;Anthony;Noel;PA83956;DELL;12/11/1991;0104199164;0637045158;
M.;Romain;Vincent;BillU;Paris;DSI;DÈveloppement et IntÈgration;IntÈgrateur;Anthony;Noel;PA52103;DELL;30/08/1987;0192883550;0770092044;
M.;Aaron;Roche;BillU;Paris;DSI;Exploitation;Technicien d'exploitation;Anthony;Noel;PA76820;DELL;20/10/2001;0400609816;0673124437;
M.;Bryan;Perez;BillU;Paris;DSI;Exploitation;Technicien d'exploitation;Anthony;Noel;PA78323;DELL;22/05/1993;0131204687;0664331983;
Mme;Ines;Roger;BillU;Paris;DSI;Exploitation;Technicien de maintenance;Anthony;Noel;PA69442;DELL;13/12/1997;0490987479;0617155871;
M.;Julien;Duran;BillU;Paris;DSI;Exploitation;Technicien de maintenance;Anthony;Noel;PA84572;DELL;01/05/1989;0137916836;0704153936;
M.;Tom;Morel;BillU;Paris;DSI;Support;Hotliner;Anthony;Noel;PA32765;DELL;31/03/2001;0181640031;0666489658;
